Report Number,Category,Offense Parent Group,Offense,MCPP,Longitude,Latitude
2010-038053,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MID BEACON HILL,-122.305775,47.55590383
2010-038470,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTHGATE,-122.3440271,47.69418264
2010-039619,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MAGNOLIA,-122.3898716,47.65120855
2010-040662,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SOUTH PARK,-122.323929,47.53053031
2010-040817,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3357752,47.60922111
2010-041849,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER BEACH,-122.269982,47.52473905
2010-043257,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MOUNT BAKER,-122.286033,47.58879042
2010-044159,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3209062,47.62198807
2010-044216,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,GREENWOOD,-122.3445607,47.6938234
2010-045397,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SLU/CASCADE,-122.333368,47.61732929
2010-045397,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SLU/CASCADE,-122.333368,47.61732929
2010-047273,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MID BEACON HILL,-122.3098786,47.55233097
2010-047387,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FREMONT,-122.3473295,47.65719937
2010-049928,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CLAREMONT/RAINIER VISTA,-122.2947874,47.57394303
2010-049983,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BALLARD NORTH,-122.3930352,47.68772811
2010-050388,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,PIONEER SQUARE,-122.3303424,47.59999132
2010-050971,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FREMONT,-122.3473369,47.66056687
2010-051818,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3181317,47.61351284
2010-053036,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTH BEACON HILL,-122.3046557,47.55960794
2010-053039,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SLU/CASCADE,-122.3413331,47.61383118
2010-053117,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3221394,47.61581012
2010-053480,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BITTERLAKE,-122.3449368,47.71957221
2010-054041,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3368606,47.60246347
2010-055211,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MID BEACON HILL,-122.2860906,47.54701308
2010-057147,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SODO,-122.3235006,47.58610117
2010-057179,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SOUTH DELRIDGE,-122.3571429,47.52103135
2010-057450,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3252867,47.61811452
2010-057840,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FREMONT,-122.3473322,47.65820833
2010-058235,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SANDPOINT,-122.2793952,47.66309628
2010-058413,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3341769,47.60214897
2010-058599,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MADRONA/LESCHI,-122.2986417,47.60010856
2010-058798,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SLU/CASCADE,-122.3475944,47.62175679
2010-058798,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SLU/CASCADE,-122.3475944,47.62175679
2010-058819,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,EASTLAKE - WEST,-122.3254008,47.63536953
2010-059321,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,LAKECITY,-122.292841,47.72379509
2010-061029,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,COLUMBIA CITY,-122.2834794,47.5558995
2010-062592,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTH BEACON HILL,-122.2975221,47.57752585
2010-063826,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3181689,47.6158384
2010-063918,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,UNIVERSITY,-122.3142887,47.66118072
2010-065144,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTHGATE,-122.3259549,47.70861145
2010-065256,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,LAKECITY,-122.2989555,47.71745615
2010-066579,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CHINATOWN/INTERNATIONAL DISTRICT,-122.3173114,47.60119277
2010-066656,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.3134736,47.61291457
2010-067033,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SLU/CASCADE,-122.3424088,47.61798729
2010-070584,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3357817,47.60587262
2010-071063,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTHGATE,-122.3289183,47.72316552
2010-071145,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3382473,47.6102463
2010-071542,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CAPITOL HILL,-122.323721,47.61848252
2010-072140,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,SLU/CASCADE,-122.3304204,47.62024434
2010-072958,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.33082,47.60548266
2010-074439,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,BELLTOWN,-122.3445627,47.61222186
2010-074503,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,FIRST HILL,-122.3135303,47.60351526
2010-074801,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,CLAREMONT/RAINIER VISTA,-122.2959087,47.57541836
2010-075297,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,MORGAN,-122.3806686,47.52911459
2010-075733,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,NORTH BEACON HILL,-122.313397,47.58003408
2010-077134,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,LAKEWOOD/SEWARD PARK,-122.258073,47.55061696
2010-077574,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,RAINIER BEACH,-122.2700209,47.51715141
2010-078863,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,HILLMAN CITY,-122.2770719,47.54932469
2010-080424,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,DOWNTOWN COMMERCIAL,-122.3404677,47.6093176
2010-082398,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,ROOSEVELT/RAVENNA,-122.3444863,47.68366976
2010-082826,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,LAKECITY,-122.3072775,47.72660347
